"Social Connect Weibo Options","Social Connect Weibo Options"
"Enabled","Enabled"
"App Key","App Key"
"App Secret","App Secret"
"Links","Links"
"Website","Website"
"Callback URL","Callback URL",
"Social Connect QQ Options","Social Connect QQ Options"
"App ID","App ID",
"Website URL","Website URL"
"OAuth 2.0 Redirect URLs","OAuth 2.0 Redirect URLs"
"Social Connect Wechat(web auth) Options","Social Connect Wechat(web auth) Options"
"Social Connect Wechat(QR Login) Options","Social Connect Wechat(QR Login) Options"
"QQ Connect","QQ Connect"
"Connect","Connect"
"Disconnect","Disconnect"
"Wechat Developers","Wechat Developers"
"Weibo Developers","Weibo Developers"
"You have successfully disconnected your QQ account from our store account.","You have successfully disconnected your QQ account from our store account."
"Your QQ account is already connected to one of our store accounts.","Your QQ account is already connected to one of our store accounts."
"Your QQ account is now connected to your store account. You can now login using our QQ Login button or using store account credentials you will receive to your email address.","Your QQ account is now connected to your store account. You can now login using our QQ Login button or using store account credentials you will receive to your email address."
"You have successfully logged in using your QQ account.","You have successfully logged in using your QQ account."
"We have discovered you already have an account at our store. Your QQ account is now connected to your store account.","We have discovered you already have an account at our store. Your QQ account is now connected to your store account."
"Sorry, could not retrieve your QQ first name. Please try again.","Sorry, could not retrieve your QQ first name. Please try again."
"Your QQ account is now connected to your new user account at our store. Now you can login using our QQ Login button.","Your QQ account is now connected to your new user account at our store. Now you can login using our QQ Login button."
"You have successfully disconnected your Wechat account from our store account.","You have successfully disconnected your Wechat account from our store account."
"Wechat Connect process aborted.","Wechat Connect process aborted."
"Your Wechat account is already connected to one of our store accounts.","Your Wechat account is already connected to one of our store accounts."
"Your Wechat account is now connected to your store account. You can now login using our Wechat Login button or using store account credentials you will receive to your email address.","Your Wechat account is now connected to your store account. You can now login using our Wechat Login button or using store account credentials you will receive to your email address."
"You have successfully logged in using your Wechat account.","You have successfully logged in using your Wechat account."
"We have discovered you already have an account at our store. Your Wechat account is now connected to your store account.","We have discovered you already have an account at our store. Your Wechat account is now connected to your store account."
"Sorry, could not retrieve your Wechat name. Please try again.","Sorry, could not retrieve your Wechat name. Please try again."
"Your Wechat account is now connected to your new user account at our store. Now you can login using our Wechat Login button.","Your Wechat account is now connected to your new user account at our store. Now you can login using our Wechat Login button."
"You have successfully disconnected your Weibo account from our store account.","You have successfully disconnected your Weibo account from our store account."
"Weibo Connect process aborted.","Weibo Connect process aborted."
"Your Weibo account is already connected to one of our store accounts.","Your Weibo account is already connected to one of our store accounts."
"Your Weibo account is now connected to your store account. You can now login using our Weibo Login button or using store account credentials you will receive to your email address.","Your Weibo account is now connected to your store account. You can now login using our Weibo Login button or using store account credentials you will receive to your email address."
"You have successfully logged in using your Weibo account.","You have successfully logged in using your Weibo account."
"We have discovered you already have an account at our store. Your Weibo account is now connected to your store account.","We have discovered you already have an account at our store. Your Weibo account is now connected to your store account."
"Sorry, could not retrieve your Weibo name. Please try again.","Sorry, could not retrieve your Weibo name. Please try again."
"Your Weibo account is now connected to your new user account at our store. Now you can login using our Weibo Login button.","Your Weibo account is now connected to your new user account at our store. Now you can login using our Weibo Login button."
"Unable to retrieve request token.","Unable to retrieve request token."
"Unable to retrieve openid.","Unable to retrieve openid."
"Required HTTP method is not supported.","Required HTTP method is not supported."
"Unspecified OAuth error occurred.","Unspecified OAuth error occurred."
"HTTP error %d occurred while issuing request.","HTTP error %d occurred while issuing request."
