" The customer does not exist in the system anymore.","未找到该客户的信息"
" [deleted]"," [已删除]"
" and "," 并且 "
"%s (Default Template from Locale)","%s (地区默认模板)"
"%s cache type(s) disabled.","%s 个缓存类型已禁用."
"%s cache type(s) enabled.","%s 个缓存已启用."
"%s cache type(s) refreshed.","%s 个缓存已刷新."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(对于 ""Local Server"" 类型需要使用到 Magento install var/export or var/import 的相对路径, 例如 var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(用于美国两个字母代表州的名称)"
"(If left empty will be auto-generated)","(如果留空将自动生成)"
"(Leave empty for first spreadsheet)","(第一个表格可留空)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(如果店铺一栏为空或在导入的文件中不存在，则产品被添加/更新到该店铺中。)"
"(Shift-)Click or drag to change value","(Shift-)点击或拖拽即可更改值"
"(Starting with)","(始于)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(如果为 'No', 则只有映射的文件会被导入. 在映射时, 使用 'column1', 'column2', 等。)"
"(You have to increase php memory_limit before changing this value)","(修改该值之前您必须要增大php配置中的memory_limit)"
"(\\t for tab)","(\\t 可贷款选项卡)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - 如果正在创建索引，则会被停止并重新开始新的索引进程。"
"* Required Fields","* 必选"
"- Click on any of the time parts to increase it","- 点击任意部分即可更改"
"- Hold mouse button on any of the above buttons for faster selection.","- 按住鼠标可快速选择"
"- Use the %s buttons to select month","- 使用 %s 按钮选择月份"
"- Use the %s, %s buttons to select month","- 使用 %s, %s 按钮选择月份"
"- Use the %s, %s buttons to select year","- 使用 %s, %s 按钮选择年份"
"- or Shift-click to decrease it","- 或按住Shift键并单击，以减少它"
"- or click and drag for faster selection.","- 或点击并拖拽以快速选中"
"-- Not Selected --","-- 未选择 --"
"-- Please Select --","-- 请选择 --"
"-- Please Select Billing Agreement--","-- 请选择账单协议--"
"-- Please Select a Category --","-- 请选择分类 --"
"-- Please select --","-- 请选择 --"
"--Please Select--","--请选择--"
"1 Hour","1 小时"
"12 Hours","12 小时"
"12h AM/PM","12h AM/PM"
"2 Hours","2 小时"
"24 Hours","24 小时"
"24h","24h"
"2YTD","2YTD"
"6 Hours","6 小时"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> 请求访问您的帐户"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>注意</strong>: 验证码区分大小写"
"A user with the same user name or email aleady exists.","用户名或邮箱已经存在"
"API Key","API Key"
"API Key Confirmation","API Key Confirmation"
"ASCII","ASCII"
"Abandoned Carts","清空购物车"
"About the calendar","关于日历"
"Access Denied","访问被拒绝"
"Access denied","访问被拒绝"
"Access denied.","访问被拒绝。"
"Account Created in:","账户创建于:"
"Account Created on (%s):","账户创建于 (%s):"
"Account Created on:","账户创建于:"
"Account Information","账户信息"
"Account Status","账户状态"
"Account status","账户状态"
"Action","操作"
"Actions","操作"
"Actions XML","操作 XML"
"Active","活动"
"Add","添加"
"Add Exception","添加例外"
"Add Field Mapping","添加映射"
"Add Field with URL:","添加URL字段:"
"Add New","添加新内容"
"Add New Block","添加页面块"
"Add New Image","添加新图像"
"Add New Profile","添加新配置文件"
"Add New Role","添加新角色"
"Add New Template","添加新模板"
