" But cart has some errors.","但购物车中有一些错误。"
" Note: Image size affects the performance of your app.","注意：图片大小将影响应用的性能。"
""Description" is more than %d characters long","“描述”多于 %d 个字符长度"
""Title" is more than %d characters long","“标题”多于 %d 个字符长度"
""id" attribute is required for a "%s" field.",""%s" 字段需要 "id" 属性。"
""line_count" attribute is required for "multiline" element.","“多行”元素需要 "line_count" 属性。"
""message" attribute is required for "%s" validator rule.",""%s" 验证器规则需要 "message" 属性。"
"%1$s has been added to your wishlist.","%1$s 已添加到您的心愿单。"
"%1$s incl tax.","%1$s 含税。"
"%@ is not correct","%@ 不正确"
"%s API Key required.","%s 需要 API 密钥。"
"%s Application ID required.","%s 需要应用程序 ID。"
"%s Secret Key required.","需要 %s 密钥。"
"%s attribute is required.","需要 %s 属性。"
"%s fields is required","%s 是必须的"
"%s has been added to your cart.","%s 已添加到您的购物车。"
"%s id:","%s ID:"
"%s was updated in your shopping cart.","购物车中的%s已更新"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","（包含列表中不包括的国家。作为应用的所有者，您需要负责遵守在特定国家，包括您自己的祖国分发或销售您的应用程序时，该国的相关法律。）"
"* - field is required","* - 字段为必填"
"*Subject to change","*可能会有变更"
"1. Please select type of the action:","1.请选择操作类型"
"10:40 AM","10:40 AM"
"2. Please select a page","2.请选择一个页面"
"2. Type Category Name","2.输入分类名称"
"2. Type Product Name","2.输入产品名称"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href="%s" target="_blank">Login</a> to Urban Airship.","<a href="%s" target="_blank">登录</a>城市飞艇。"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","仅在目录中的应用程序将不支持部分功能，例如添加到购物车、添加到愿望清单，或登录。"
"A new password has been sent.","新密码已发送。"
"About","关于"
"Access forbidden","禁止访问"
"Account","帐户"
"Account Information","账户信息"
"Account Settings","账户设置"
"Account confirmation is required. Please check your email for the confirmation link.","需要进行账户确认。请检查您的电子邮件并找到确认链接。"
"Account information has been saved.","账户信息已保存。"
"Action","操作"
"Action type does\'t recognized","不允许的操作类型"
"Action type does\'t recognized.","不允许的操作类型"
"Action type doesn\'t recognized.","不允许的操作类型"
"Activate","激活"
"Activate PayPal Checkout","激活 PayPal 结账"
"Activate PayPal MECL","激活 PayPal MECL"
"Activation Key","激活密钥"
"Add","添加"
"Add Action","添加"
"Add Address from Contacts","从通讯录中添加地址"
"Add App","添加应用程序"
"Add Custom","添加自定义"
"Add New Address","添加新地址"
"Add New Template","添加新模板"
"Add Page","添加页面"
"Add To Wishlist","添加到心愿单"
"Add a billing address","添加账单地址"
"Add a shipping address","添加收获地址"
"Add to Cart","加入购物车"
"Add to Wishlist","添加到收藏"
"Adding Product to Cart...","正在添加到购物车..."
"Adding Product to WishList...","正在添加到心愿单..."
"Additional Address","其他地址"
"Additional Info","附加信息"
"Address","地址"
"Address 2","地址2"
"Address Book","地址簿"
"Address Book Updated","地址簿已更新"
"Address Info","地址信息"
"Address book is empty","地址簿是空的"
"Address data not specified.","地址数据未指定。"
"Address does not belong to this customer.","地址不属于该客户。"
"Address has been deleted.","地址已被删除。"
"Address has been saved.","地址已被保存。"
"Admin Application Settings","应用设置"
"Admin Mobile Application","移动应用"
"Admin application has not been enabled","管理应用程序已启动"
"Administrative contact for this app and for app submission issues.","管理有关该应用的联系以及该应用提交的问题。"
"Advanced Settings","高级设置"
"After submitting the App to Magento, please contact <a href="mailto:%1$s">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","在提交应用程序到 Magento 后，请联系 <a href="mailto:%1$s">%1$s</a> 以接收应用程序密钥，应用程序密码和应用程序主密码。"
"AirMail Message Queue","航空邮件消息队列"
"AirMail Messages Queue","航空邮件消息队列"
"AirMail Template Preview","航空邮件模板预览"
"AirMail message","航空邮件消息"
"AirMail templates","航空邮件模板"
"All Allowed Countries","所有允许的国家"
"All Images","所有图片"
"All locations","所有位置"
"Amount","总量"
"Amount in %@","%@ 中有"
"Amounts","总量"
"An account with this email address already exists.","使用该邮件地址的帐户已存在。"
"An error occurred while adding item to wishlist.","当添加项目到愿望清单时发生错误。"
"An error occurred while deleting the address.","删除该地址时遇到了错误。"
"An error occurred while loading categories.","载入分类时发生错误。"
"An error occurred while loading category filters.","加载分类筛选器时出错。"
"An error occurred while loading configuration.","加载配置时出错。"
"An error occurred while loading localization.","加载语言配置时出错。"
"An error occurred while loading login form.","加载登录时出错。"
"An error occurred while loading wishlist.","载入愿望清单时发生错误。"
"An error occurred while processing your order. Please contact us or try again later.","处理您的订单时出错。请联系我们或稍后再试。"
"An error occurred while processing your request.","处理您的请求时出错。"
"An error occurred while removing item from wishlist.","从您的愿望清单中删除该商品时出错。"
"An error occurred while removing items from wishlist.","从愿望清单删除内容时出现了错误。"
"Analytics","分析"
"Android","Android"
"Android doesn\'t support AirMail message type.","Android 不支持 AirMail 消息类型。"
"App Background","App背景"
"App Background (landscape mode)","App背景（横向模式）"
"App Background (landscape mode).","App背景（横向模式）。"
"App Background (portrait mode)","App背景（纵向模式）"
"App Background (portrait mode).","App背景（纵向模式）。"
"App Background image missing.","App背景图像丢失"
"App Code","App代码"
"App Information","App信息"
"App Name","App名称"
"App Stores","App店铺"
"App Submission History","App提交历史"
"App Title","App标题"
"App code","App 代码"
"App code required.","需要App代码。"
"App does not exist.","App不存在。"
"App has been deleted.","App已被删除。"
"App has been saved.","App已被保存。"
"App has been submitted.","App已被提交。"
"App model not loaded.","App模块未加载。"
"App with specified code does not exist.","使用特定代码的App已存在。"
"Appears in the info section of your app (example: Copyright 2010 – Your Company, Inc.)","显示在您应用的信息界面中（例如：Copyright 2010 – Your Company, Inc.）"
"Application","应用程序"
"Application Key","应用程序密钥"
"Application Master Secret","应用程序主密钥"
"Application Name","应用程序名称"
"Application Secret","应用程序密码"
"Application doesn\'t exist.","应用不存在"
"Apply","应用"
"Applying Coupon Code","使用优惠卷"
"Applying Gift Card %@","使用礼品卡"
"Are you sure you want to cancel a message?","你确定你要取消消息？"
"Are you sure you want to cancel selected records?","你确定你要取消选定的记录？"
"Are you sure you want to delete a message?","你确定你要删除消息？"
"Are you sure you want to delete selected records?","是否确实要删除选定的记录？"
"Are you sure you want to delete this theme? This change will affect all applications.","你确认要删除此主题吗？此变更将影响所有应用程序。"
"Are you sure you want to do this?","您是否确认要这样做？"
"Are you sure you want to remove this item?","是否确实要删除此项目？"
"As Low As","低至"
"As Low Excl. Tax","不含税低至"
"As Low Incl. Tax","含税低至"
"As a Magento customer, Urban Airship is offering you unlimited Push Notifications and Rich Push for $100/year* along with a 60 day free trial.","作为 Magento 的客户，Urban Airship 为您提供仅需 $100/年无限制的推送通知和富推送，包含 60 天免费试用。"
"As low as","低至"
"As low as excl. tax","不含税低至"
"As low as incl. tax","含税低至"
"At last one application has to be created.","至少需要创建一个应用程序。"
"At least one option should be selected",""
"Authentication complete.","身份验证完成。"
"Authentication to %@ did failed...","授权%@失败"
"Average Order Amount","平均订单金额"
"Average Orders","平均订单"
"Average Rating","平均评分"
"Back","返回"
"Back to App Edit","返回应用编辑"
"Background Color","背景色"
"Balance","余额"
"Balance Change","余额变动"
"Balance History","余额历史"
"Banner on Home Screen","主界面的旗帜"
"Banner on Home Screen (landscape mode)","主屏幕（横向模式）"
"Banner on Home Screen (landscape mode) image missing.","主屏幕（横向模式）的横幅图片丢失。"
"Banner on Home Screen (portrait mode)","主屏幕（纵向模式）"
"Banner on Home Screen (portrait mode) image missing.","主屏幕（纵向模式）的横幅图片丢失。"
"Banner on Home Screen image missing.","主界面旗帜的图片丢失。"
